17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun
20,10,20,20,10,10,10,20,10,10,10,10
2900,3600,4400,3600,3600,2900,3600,3600,5400,4400,4400,4400
1900,1900,1900,1900,1300,1300,1300,1000,1300,2400,2400,2400
140,110,70,90,70,70,90,110,110,50,50,50
170,140,140,110,110,70,90,90,110,140,140,110
33100,33100,33100,33100,27100,33100,40500,33100,40500,40500,33100,33100
40,30,50,50,70,70,90,140,170,50,40,30
70,20,10,10,10,10,20,10,30,50,110,90
3600,1900,2400,3600,2400,2900,3600,3600,5400,4400,3600,3600
10,10,10,10,0,0,0,0,0,0,0,10
110,70,90,70,70,50,70,70,90,70,70,70
90500,90500,90500,90500,74000,74000,90500,74000,74000,90500,90500,90500
2400,2400,2400,2400,1900,1900,2400,2400,2400,2400,2400,2400
50,50,70,70,50,50,50,70,40,110,90,90
210,210,210,210,170,140,110,210,140,170,260,320
14800,12100,14800,12100,9900,9900,14800,14800,14800,12100,12100,12100
140,110,110,90,70,90,110,110,90,140,170,170
260,320,170,210,170,140,210,170,140,210,260,260
40,50,70,70,110,140,210,110,90,50,30,40
90,90,110,140,170,210,260,320,320,320,320,390
170,140,170,140,140,140,210,260,390,320,170,170
390,390,390,390,390,320,480,590,590,590,590,480
390,210,140,140,110,110,140,70,70,140,260,320
20,20,10,30,10,20,50,70,70,40,30,20
110,110,70,90,70,70,70,70,50,140,480,260
1300,1300,1300,1300,1000,1000,1000,1000,1000,1000,1000,880
50,40,30,30,30,20,40,30,30,50,40,40
20,20,20,40,20,20,40,90,50,70,70,30
10,10,10,10,10,10,10,30,30,10,20,10
50,70,50,70,90,70,140,260,170,110,110,90
170,90,10,10,0,10,10,10,20,40,50,70
3600,1900,1900,2900,4400,5400,12100,27100,27100,8100,5400,8100
1600,2400,2400,2400,2400,1900,2400,1900,2400,2900,2400,1600
50,50,50,50,50,40,70,70,70,70,50,70
170,50,40,30,20,10,10,10,0,10,20,10
170,110,140,140,170,170,260,720,480,210,390,260
50,40,50,70,110,140,260,320,260,110,70,30
720,260,210,320,390,480,480,170,70,170,720,1300
140,480,260,70,140,210,390,880,70,90,140,90
50,40,30,20,20,20,30,40,30,30,40,70
90500,90500,90500,90500,90500,90500,110000,110000,135000,110000,110000,110000
260,260,320,390,320,320,480,480,390,390,320,320
1900,2400,1900,1900,2400,2900,3600,14800,2400,2400,2400,4400
50,50,90,110,90,110,170,260,140,110,70,70
14800,14800,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800
20,20,10,10,10,10,10,10,10,10,0,10
170,140,170,210,210,170,260,210,210,260,260,260
10,0,0,0,0,0,0,0,0,0,0,0
2400,2400,2400,2400,1900,1900,2400,2900,2900,3600,2900,2400
880,1000,1000,1300,1300,1900,1900,1900,1900,2900,2900,3600
2400,1900,1900,1900,1900,1900,4400,5400,9900,8100,8100,8100
40,50,20,30,30,40,30,50,50,70,90,70
110,90,90,90,90,110,140,140,170,170,110,90
10,10,20,10,10,40,40,50,30,20,20,20
480,390,480,480,390,390,590,480,480,480,480,390
20,20,20,20,20,40,30,260,170,40,40,30
40,40,40,70,90,70,210,140,90,50,40,20
50,20,30,20,10,10,30,20,40,110,170,90
18100,14800,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800
10,10,10,10,0,10,10,10,10,10,20,10
260,140,110,90,90,50,70,70,110,260,590,390
